#OTU ID	201411_Is1	201411_Is2	201411_Is3	201411_Is_SW	201411_Mi1	201411_Mi2	201411_Mi3	201411_Mi_SW	201502_Is2	201502_Is3	201502_Is_SW	201502_Mi1	201502_Mi2	201502_Mi3	201502_Mi_SW	201505_Is1	201505_Is2	201505_Is3	201505_Is_SW	201505_Mi1	201505_Mi2	201505_Mi3	201505_Mi_SW	201508_Is1	201508_Is2	201508_Is3	201508_Is_SW	201508_Mi1	201508_Mi2	201508_Mi3	201508_Mi_SW	201508_Out_SW	201511_Is1	201511_Is2	201511_Is3	201511_Is_SW	201511_Mi1	201511_Mi2	201511_Mi3	201511_Mi_SW	201511_Out_SW
OTU190	0	0	0	82	0	0	0	28	0	0	0	0	0	0	3	0	0	0	19	0	0	0	10	0	0	0	2	0	0	0	3	2	0	0	0	6	0	0	0	10	21
OTU55	0	0	0	715	0	0	0	347	0	0	553	0	0	0	1184	0	0	0	497	0	0	0	352	0	0	0	162	0	0	0	243	310	0	0	0	144	0	0	2	216	411
OTU59	0	0	0	217	0	0	0	197	0	0	413	0	0	0	780	0	0	0	33	0	0	0	24	0	0	0	3	0	0	0	1	6	0	0	0	74	0	0	5	79	180
OTU35	0	0	0	575	0	0	0	287	0	0	633	1	0	0	755	0	0	0	640	0	0	1	505	0	0	1	182	0	0	0	249	248	0	0	0	123	0	0	1	148	194
OTU10	0	0	0	1715	0	1	0	1347	0	0	1309	0	0	0	2712	0	1	1	567	6	1	0	449	1	0	0	56	0	0	0	50	20	0	1	0	1433	0	0	31	792	756
OTU65	0	0	0	238	0	6	0	446	0	0	55	0	0	0	57	0	0	0	96	0	0	0	72	0	28	0	175	0	0	0	161	270	0	0	0	307	0	0	0	624	423
OTU114	0	0	0	90	0	0	0	77	0	0	8	0	0	0	12	0	0	0	47	0	0	0	14	0	0	0	27	0	0	0	36	73	0	0	0	15	1	0	0	22	44
OTU62	0	0	0	9	0	0	0	7	0	0	51	0	0	0	128	0	0	0	398	0	0	0	466	0	0	0	44	0	0	0	295	35	0	0	0	4	0	0	0	0	0
OTU613	0	0	0	11	0	0	0	5	0	0	33	0	0	0	86	0	0	0	61	0	0	0	57	0	0	0	0	0	0	0	5	1	0	0	0	1	0	0	0	4	1
OTU41	0	0	0	196	0	0	0	57	0	0	469	0	0	0	546	0	0	0	16	0	0	0	9	0	0	0	27	0	0	0	19	24	0	0	0	19	0	0	4	12	45
OTU51	0	0	0	726	0	0	0	342	0	0	116	0	0	0	120	0	0	0	12	0	0	0	11	0	0	0	7	0	0	0	7	11	0	0	0	48	0	0	0	77	158
OTU246	0	0	0	29	0	0	0	33	0	0	37	0	0	0	104	0	0	0	4	0	0	0	4	0	0	0	1	0	0	0	1	1	0	0	0	6	0	0	0	13	39
OTU43	0	0	0	297	0	0	0	211	0	0	52	0	0	0	100	0	0	0	376	0	0	0	474	0	11	0	242	0	0	0	1075	235	0	0	0	82	0	0	1	38	85
OTU166	0	0	0	196	0	0	0	98	0	0	3	0	0	0	8	0	0	0	32	0	0	0	29	0	0	0	47	0	0	0	111	72	0	0	0	24	0	0	0	23	46
OTU625	0	0	0	410	0	0	0	277	0	0	34	0	0	0	25	0	2	0	377	0	0	0	527	0	4	0	240	0	0	0	517	1218	0	0	0	778	1	0	0	1666	971
OTU161	0	0	0	47	0	0	0	37	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	22	37
OTU291	0	0	0	28	0	0	0	6	0	0	3	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	1	0	6
OTU328	0	0	0	1	0	0	0	0	0	0	9	0	0	0	25	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU28	0	0	0	489	0	0	0	398	0	0	418	0	0	0	411	3	0	2	2271	0	0	0	2516	0	0	1	750	0	0	0	1439	691	0	0	0	378	0	0	2	192	261
OTU133	0	0	0	533	0	0	0	345	0	0	307	0	0	0	360	0	0	0	142	0	0	0	102	0	0	0	48	0	0	0	74	88	0	0	0	78	0	0	3	181	391
OTU445	0	0	0	159	0	0	0	144	0	1	65	0	0	0	131	0	0	0	109	0	0	0	91	0	0	1	60	1	0	0	67	58	0	0	1	67	0	0	4	48	120
OTU122	0	0	0	378	1	0	0	313	1	1	124	0	0	0	315	0	0	0	243	0	0	0	184	1	0	0	66	0	0	0	169	121	0	0	0	94	0	0	18	115	217
OTU99	0	0	0	288	0	0	0	179	0	0	157	0	0	0	163	0	0	0	52	0	0	0	26	0	0	0	16	0	0	0	16	23	0	0	0	32	0	0	4	21	56
